Toronto,Ontario,43.7417,-79.3733,America/Toronto
Montreal,Quebec,45.5089,-73.5617,America/Montreal
Vancouver,British Columbia,49.25,-123.1,America/Vancouver
Calgary,Alberta,51.05,-114.0667,America/Edmonton
Edmonton,Alberta,53.5344,-113.4903,America/Edmonton
Ottawa,Ontario,45.4247,-75.695,America/Montreal
Mississauga,Ontario,43.6,-79.65,America/Toronto
Winnipeg,Manitoba,49.8844,-97.1464,America/Winnipeg
Quebec City,Quebec,46.8139,-71.2081,America/Montreal
Hamilton,Ontario,43.2567,-79.8692,America/Toronto
Brampton,Ontario,43.6833,-79.7667,America/Toronto
Surrey,British Columbia,49.19,-122.8489,America/Vancouver
Kitchener,Ontario,43.4186,-80.4728,America/Toronto
Laval,Quebec,45.5833,-73.75,America/Montreal
Halifax,Nova Scotia,44.6475,-63.5906,America/Halifax
London,Ontario,42.9836,-81.2497,America/Toronto
Victoria,British Columbia,48.4283,-123.3647,America/Vancouver
Markham,Ontario,43.8767,-79.2633,America/Toronto
St. Catharines,Ontario,43.1833,-79.2333,America/Toronto
Niagara Falls,Ontario,43.06,-79.1067,America/Toronto
Vaughan,Ontario,43.8333,-79.5,America/Toronto
Gatineau,Quebec,45.4833,-75.65,America/Montreal
Windsor,Ontario,42.2833,-83,America/Toronto
Saskatoon,Saskatchewan,52.1333,-106.6833,America/Regina
Longueuil,Quebec,45.5333,-73.5167,America/Montreal
Burnaby,British Columbia,49.2667,-122.9667,America/Vancouver
Regina,Saskatchewan,50.4547,-104.6067,America/Regina
Richmond,British Columbia,49.1667,-123.1333,America/Vancouver
Richmond Hill,Ontario,43.8667,-79.4333,America/Toronto
Oakville,Ontario,43.45,-79.6833,America/Toronto
Burlington,Ontario,43.3167,-79.8,America/Toronto
Barrie,Ontario,44.3711,-79.6769,America/Toronto
Oshawa,Ontario,43.9,-78.85,America/Toronto
Sherbrooke,Quebec,45.4,-71.9,America/Montreal
Saguenay,Quebec,48.4167,-71.0667,America/Montreal
Levis,Quebec,46.8,-71.1833,America/Montreal
Kelowna,British Columbia,49.8881,-119.4956,America/Vancouver
Abbotsford,British Columbia,49.05,-122.3167,America/Vancouver
Coquitlam,British Columbia,49.2839,-122.7919,America/Vancouver
Trois-Rivières,Quebec,46.35,-72.55,America/Montreal
Guelph,Ontario,43.55,-80.25,America/Toronto
Cambridge,Ontario,43.3972,-80.3114,America/Toronto
Whitby,Ontario,43.8833,-78.9417,America/Toronto
Ajax,Ontario,43.8583,-79.0364,America/Toronto
Langley,British Columbia,49.1044,-122.5827,America/Vancouver
Saanich,British Columbia,48.484,-123.381,America/Vancouver
Terrebonne,Quebec,45.7,-73.6333,America/Montreal
Milton,Ontario,43.5083,-79.8833,America/Toronto
St. John's,Newfoundland and Labrador,47.4817,-52.7971,America/St_Johns
Moncton,New Brunswick,46.1328,-64.7714,America/Moncton
Thunder Bay,Ontario,48.3822,-89.2461,America/Thunder_Bay
Dieppe,New Brunswick,46.0989,-64.7242,America/Moncton
Waterloo,Ontario,43.4667,-80.5167,America/Toronto
Delta,British Columbia,49.0847,-123.0586,America/Vancouver
Chatham,Ontario,42.4229,-82.1324,America/Toronto
Red Deer,Alberta,52.2681,-113.8111,America/Edmonton
Kamloops,British Columbia,50.6761,-120.3408,America/Vancouver
Brantford,Ontario,43.1667,-80.25,America/Toronto
Cape Breton,Nova Scotia,46.1389,-60.1931,America/Glace_Bay
Lethbridge,Alberta,49.6942,-112.8328,America/Edmonton
Saint-Jean-sur-Richelieu,Quebec,45.3167,-73.2667,America/Montreal
Clarington,Ontario,43.935,-78.6083,America/Toronto
Pickering,Ontario,43.8354,-79.089,America/Toronto
Nanaimo,British Columbia,49.1642,-123.9364,America/Vancouver
Sudbury,Ontario,46.49,-81.01,America/Toronto
North Vancouver,British Columbia,49.3641,-123.0066,America/Vancouver
Brossard,Quebec,45.4667,-73.45,America/Montreal
Repentigny,Quebec,45.7333,-73.4667,America/Montreal
Newmarket,Ontario,44.05,-79.4667,America/Toronto
Chilliwack,British Columbia,49.1577,-121.9509,America/Vancouver
White Rock,British Columbia,49.025,-122.8028,America/Vancouver
Maple Ridge,British Columbia,49.2167,-122.6,America/Vancouver
Peterborough,Ontario,44.3,-78.3167,America/Toronto
Kawartha Lakes,Ontario,44.35,-78.75,America/Toronto
Prince George,British Columbia,53.9169,-122.7494,America/Vancouver
Sault Ste. Marie,Ontario,46.5333,-84.35,America/Toronto
Sarnia,Ontario,42.9994,-82.3089,America/Toronto
Wood Buffalo,Alberta,57.6042,-111.3284,America/Edmonton
New Westminster,British Columbia,49.2069,-122.9111,America/Vancouver
Châteauguay,Quebec,45.38,-73.75,America/Montreal
Saint-Jerôme,Quebec,45.7833,-74,America/Montreal
Drummondville,Quebec,45.8833,-72.4833,America/Montreal
Saint John,New Brunswick,45.2806,-66.0761,America/Moncton
Caledon,Ontario,43.8667,-79.8667,America/Toronto
St. Albert,Alberta,53.6303,-113.6258,America/Edmonton
Granby,Quebec,45.4,-72.7333,America/Montreal
Medicine Hat,Alberta,50.0417,-110.6775,America/Edmonton
Grande Prairie,Alberta,55.1708,-118.7947,America/Edmonton
St. Thomas,Ontario,42.775,-81.1833,America/Toronto
Airdrie,Alberta,51.2917,-114.0144,America/Edmonton
Halton Hills,Ontario,43.63,-79.95,America/Toronto
Saint-Hyacinthe,Quebec,45.6167,-72.95,America/Montreal
Lac-Brome,Quebec,45.2167,-72.5167,America/Montreal
Port Coquitlam,British Columbia,49.2625,-122.7811,America/Vancouver
Fredericton,New Brunswick,45.9636,-66.6431,America/Moncton
Blainville,Quebec,45.67,-73.88,America/Montreal
Aurora,Ontario,44,-79.4667,America/Toronto
Welland,Ontario,42.9833,-79.2333,America/Toronto
North Bay,Ontario,46.3,-79.45,America/Toronto
Beloeil,Quebec,45.5667,-73.2,America/Montreal
Belleville,Ontario,44.1667,-77.3833,America/Toronto
Mirabel,Quebec,45.65,-74.0833,America/Montreal
Shawinigan,Quebec,46.5667,-72.75,America/Montreal
Dollard-des-Ormeaux,Quebec,45.4833,-73.8167,America/Montreal
Brandon,Manitoba,49.8483,-99.95,America/Winnipeg
Rimouski,Quebec,48.45,-68.53,America/Montreal
Cornwall,Ontario,45.0275,-74.74,America/Toronto
Stouffville,Ontario,43.9667,-79.25,America/Toronto
Georgina,Ontario,44.3,-79.4333,America/Toronto
Victoriaville,Quebec,46.05,-71.9667,America/Montreal
Vernon,British Columbia,50.267,-119.272,America/Vancouver
Duncan,British Columbia,48.7787,-123.7079,America/Vancouver
Saint-Eustache,Quebec,45.57,-73.9,America/Montreal
Quinte West,Ontario,44.1833,-77.5667,America/Toronto
Charlottetown,Prince Edward Island,46.2403,-63.1347,America/Halifax
Mascouche,Quebec,45.75,-73.6,America/Montreal
West Vancouver,British Columbia,49.3667,-123.1667,America/Vancouver
Salaberry-de-Valleyfield,Quebec,45.25,-74.13,America/Montreal
Rouyn-Noranda,Quebec,48.2333,-79.0167,America/Montreal
Timmins,Ontario,48.4667,-81.3333,America/Toronto
Sorel-Tracy,Quebec,46.0333,-73.1167,America/Montreal
New Tecumseth,Ontario,44.0833,-79.75,America/Toronto
Woodstock,Ontario,43.1306,-80.7467,America/Toronto
Boucherville,Quebec,45.6,-73.45,America/Montreal
Mission,British Columbia,49.1337,-122.3112,America/Vancouver
Vaudreuil-Dorion,Quebec,45.4,-74.0333,America/Montreal
Brant,Ontario,43.1167,-80.3667,America/Toronto
Lakeshore,Ontario,42.2399,-82.6511,America/Toronto
Innisfil,Ontario,44.3,-79.5833,America/Toronto
Prince Albert,Saskatchewan,53.2,-105.75,America/Regina
Langford Station,British Columbia,48.4506,-123.5058,America/Vancouver
Bradford West Gwillimbury,Ontario,44.1333,-79.6333,America/Toronto
Campbell River,British Columbia,50.0244,-125.2475,America/Vancouver
Spruce Grove,Alberta,53.545,-113.9008,America/Edmonton
Moose Jaw,Saskatchewan,50.3933,-105.5519,America/Regina
Penticton,British Columbia,49.4911,-119.5886,America/Vancouver
Port Moody,British Columbia,49.2831,-122.8317,America/Vancouver
Leamington,Ontario,42.0667,-82.5833,America/Toronto
East Kelowna,British Columbia,49.8625,-119.5833,America/Vancouver
Côte-Saint-Luc,Quebec,45.4687,-73.6673,America/Montreal
Val-d’Or,Quebec,48.1,-77.7833,America/Montreal
Owen Sound,Ontario,44.5667,-80.9333,America/Toronto
Stratford,Ontario,43.3708,-80.9819,America/Toronto
Lloydminster,Saskatchewan,53.2783,-110.005,America/Edmonton
Pointe-Claire,Quebec,45.45,-73.8167,America/Montreal
